filename,provider,vcpu(s),device,instance,iteration,events,runtime(ms),time_per_task(ms),price,normalized_runtime,cost_per_task,normalized_cost
amazon_16_cpu-1.out,amazon,16,cpu,1,16,256,10245.5,40.021484375,0.68,0.25112547498880466,0.1707653229923872,1.0045018999552187
amazon_16_cpu-1.out,amazon,16,cpu,1,17,256,10226.5,39.947265625,0.68,0.2506597696523363,0.17044864336358867,1.0026390786093449
amazon_16_cpu-1.out,amazon,16,cpu,1,18,256,10230.1,39.961328125,0.68,0.25074800855819346,0.17050864581957156,1.0029920342327736
amazon_16_cpu-1.out,amazon,16,cpu,1,19,256,10243.7,40.014453125,0.68,0.2510813555358761,0.1707353217643958,1.0043254221435045
amazon_16_cpu-1.out,amazon,16,cpu,1,20,256,10245.300000000001,40.020703125000004,0.68,0.2511205728273682,0.1707619895226104,1.0044822913094726
amazon_16_cpu-3.out,amazon,16,cpu,3,1,272,10237.7,37.63860294117647,0.68,0.2361734500637937,0.16059794604337974,0.9446938002551747
amazon_16_cpu-3.out,amazon,16,cpu,3,2,272,10245.0,37.66544117647059,0.68,0.23634185372725966,0.16071246053453658,0.9453674149090385
amazon_16_cpu-3.out,amazon,16,cpu,3,3,272,10248.6,37.678676470588236,0.68,0.2364249021092429,0.1607689334342852,0.9456996084369715
amazon_16_cpu-3.out,amazon,16,cpu,3,4,272,10244.8,37.66470588235294,0.68,0.2363372399282606,0.16070932315121722,0.9453489597130422
amazon_16_cpu-3.out,amazon,16,cpu,3,5,272,10254.699999999999,37.701102941176465,0.68,0.23656562297871445,0.16086462362552584,0.9462624919148577
amazon_16_cpu-3.out,amazon,16,cpu,3,6,272,10260.7,37.723161764705885,0.68,0.23670403694868652,0.16095874512510686,0.946816147794746
amazon_16_cpu-3.out,amazon,16,cpu,3,7,272,10261.5,37.72610294117647,0.68,0.2367224921446828,0.1609712946583843,0.946889968578731
amazon_16_cpu-3.out,amazon,16,cpu,3,8,272,10266.400000000001,37.74411764705883,0.68,0.23683553022016,0.1610481605497088,0.9473421208806397
amazon_16_cpu-3.out,amazon,16,cpu,3,9,272,10256.199999999999,37.70661764705882,0.68,0.23660022647120746,0.16088815400042109,0.9464009058848297
amazon_16_cpu-3.out,amazon,16,cpu,3,10,272,10242.0,37.654411764705884,0.68,0.23627264674227366,0.1606653997847461,0.9450905869690944
amazon_16_cpu-2.out,amazon,16,cpu,2,1,256,10382.4,40.55625,0.68,0.2544810044920956,0.17304708305462502,1.0179240179683822
amazon_16_cpu-2.out,amazon,16,cpu,2,2,256,10382.4,40.55625,0.68,0.2544810044920956,0.17304708305462502,1.0179240179683822
amazon_16_cpu-2.out,amazon,16,cpu,2,3,256,10372.9,40.519140625,0.68,0.2542481518238614,0.17288874324022577,1.0169926072954454
amazon_16_cpu-2.out,amazon,16,cpu,2,4,256,10381.1,40.551171875,0.68,0.2544491404427583,0.17302541550107564,1.017796561771033
amazon_16_cpu-2.out,amazon,16,cpu,2,5,256,10367.900000000001,40.499609375000006,0.68,0.2541255977879487,0.17280540649580511,1.0165023911517945
amazon_16_cpu-2.out,amazon,16,cpu,2,6,256,10370.0,40.5078125,0.68,0.254177070483032,0.17284040792846178,1.0167082819321278
amazon_16_cpu-2.out,amazon,16,cpu,2,7,256,10382.7,40.557421875,0.68,0.2544883577342504,0.17305208325929028,1.0179534309370013
amazon_16_cpu-2.out,amazon,16,cpu,2,8,256,10358.4,40.4625,0.68,0.25389274511971444,0.17264706668140584,1.0155709804788575
amazon_16_cpu-2.out,amazon,16,cpu,2,9,256,10368.9,40.503515625,0.68,0.2541501085951312,0.17282207384468923,1.0166004343805246
amazon_16_cpu-2.out,amazon,16,cpu,2,10,256,10368.1,40.500390625,0.68,0.2541304999493852,0.17280873996558194,1.0165219997975405
google_16_cpu-3.out,google,16,cpu,3,1,288,10330.3,35.86909722222222,0.8325,0.22507021461145318,0.18737095366403478,1.1021820803766749
google_16_cpu-3.out,google,16,cpu,3,2,288,10304.5,35.779513888888886,0.8325,0.2245081001000667,0.18690299333330554,1.0994293725488558
google_16_cpu-3.out,google,16,cpu,3,3,288,10305.9,35.784375,0.8325,0.22453860243789386,0.18692838652954666,1.0995787442914506
google_16_cpu-3.out,google,16,cpu,3,4,288,10310.2,35.799305555555556,0.8325,0.22463228818979164,0.18700637991800154,1.1000375289294206
google_16_cpu-3.out,google,16,cpu,3,5,288,10312.099999999999,35.805902777777774,0.8325,0.2246736842196999,0.18704084211290017,1.100240247722942
google_16_cpu-3.out,google,16,cpu,3,6,288,10440.300000000001,36.25104166666667,0.8325,0.22746682686930245,0.1893661333686943,1.1139184315805544
google_16_cpu-3.out,google,16,cpu,3,7,288,10355.2,35.955555555555556,0.8325,0.2256127204770936,0.18782258979718042,1.1048387635128256
google_16_cpu-3.out,google,16,cpu,3,8,288,10316.5,35.82118055555556,0.8325,0.22476954871001392,0.1871206493010866,1.1007097017710974
google_16_cpu-3.out,google,16,cpu,3,9,288,10308.6,35.79375,0.8325,0.22459742837513202,0.1869773591222974,1.099866818366455
google_16_cpu-3.out,google,16,cpu,3,10,288,10314.4,35.81388888888889,0.8325,0.22472379520327315,0.1870825595067249,1.100485644157205
google_16_cpu-2.out,google,16,cpu,2,1,288,10308.1,35.79201388888889,0.8325,0.22458653468305087,0.18696829012363986,1.0998134713155283
google_16_cpu-2.out,google,16,cpu,2,2,288,10314.6,35.81458333333333,0.8325,0.2247281526801056,0.1870861871061879,1.1005069829775758
google_16_cpu-2.out,google,16,cpu,2,3,288,10321.8,35.83958333333333,0.8325,0.2248850218460739,0.18721678068685652,1.1012751805109204
google_16_cpu-2.out,google,16,cpu,2,4,287,10319.4,35.95609756097561,0.8325,0.22561612143462134,0.18782542109432226,1.1048554182018955
google_16_cpu-2.out,google,16,cpu,2,5,288,10318.6,35.828472222222224,0.8325,0.2248153022167547,0.18715873909544828,1.1009337593849897
google_16_cpu-2.out,google,16,cpu,2,6,288,10319.599999999999,35.83194444444444,0.8325,0.2248370896009169,0.18717687709276332,1.1010404534868428
google_16_cpu-2.out,google,16,cpu,2,7,288,10315.300000000001,35.817013888888894,0.8325,0.22474340384901922,0.18709888370430852,1.1005816688488734
google_16_cpu-2.out,google,16,cpu,2,8,288,10315.6,35.81805555555556,0.8325,0.2247499400642679,0.18710432510350303,1.1006136770794293
